"Contact Form","Contact Form"
"New Request","New Request"
"Password Reset","Password Reset"
"Go to My Account","Go to My Account"
"New Account Confirmation","New Account Confirmation"
"Account Confirmed","Account Confirmed"
"Set a New Password","Set a New Password"
"Password Changed","Password Changed"
"Subscription Confirmation","Subscription Confirmation"
"Confirm My Subscription","Confirm My Subscription"
"Go to Store","Go to Store"
"Credit Memo Update","Credit Memo Update"
"for Order","for Order"
"Sku","Sku"
"Order Update","Order Update"
"Shipment Update","Shipment Update"
"Shared product","Shared product"
"Shared Wishlist","Shared Wishlist"
"View all wishlist Items","View all wishlist Items"
"Thank you!","Thank you!"
"Product Stock Alert","Product Stock Alert"
"%1","%1"